Dates,The number of new confirmed cases of COVID-19
2020-01-16,1
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,0
2020-01-28,3
2020-01-29,1
2020-01-30,4
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,2
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,1
2020-02-13,3
2020-02-14,5
2020-02-15,4
2020-02-16,1
2020-02-17,6
2020-02-18,8
2020-02-19,9
2020-02-20,8
2020-02-21,13
2020-02-22,23
2020-02-23,10
2020-02-24,16
2020-02-25,8
2020-02-26,22
2020-02-27,24
2020-02-28,19
2020-02-29,9
2020-03-01,14
2020-03-02,14
2020-03-03,22
2020-03-04,34
2020-03-05,33
2020-03-06,54
2020-03-07,44
2020-03-08,35
2020-03-09,27
2020-03-10,60
2020-03-11,52
2020-03-12,55
2020-03-13,34
2020-03-14,62
2020-03-15,29
2020-03-16,16
2020-03-17,45
2020-03-18,39
2020-03-19,39
2020-03-20,52
2020-03-21,35
2020-03-22,45
2020-03-23,39
2020-03-24,89
2020-03-25,93
2020-03-26,93
2020-03-27,96
2020-03-28,222
2020-03-29,151
2020-03-30,80
2020-03-31,227
2020-04-01,257
2020-04-02,281
2020-04-03,353
2020-04-04,365
2020-04-05,346
2020-04-06,248
2020-04-07,365
2020-04-08,522
2020-04-09,574
2020-04-10,640
2020-04-11,644
2020-04-12,486
2020-04-13,387
2020-04-14,446
2020-04-15,552
2020-04-16,558
2020-04-17,572
2020-04-18,577
2020-04-19,377
2020-04-20,346
2020-04-21,389
2020-04-22,446
2020-04-23,439
2020-04-24,444
2020-04-25,371
2020-04-26,224
2020-04-27,182
2020-04-28,279
2020-04-29,217
2020-04-30,202
2020-05-01,282
2020-05-02,288
2020-05-03,195
2020-05-04,181
2020-05-05,119
2020-05-06,104
2020-05-07,107
2020-05-08,88
2020-05-09,108
2020-05-10,66
2020-05-11,58
2020-05-12,87
2020-05-13,55
2020-05-14,99
2020-05-15,55
2020-05-16,56
2020-05-17,29
2020-05-18,30
2020-05-19,32
2020-05-20,37
2020-05-21,45
2020-05-22,30
2020-05-23,30
2020-05-24,40
2020-05-25,22
2020-05-26,27
2020-05-27,37
2020-05-28,62
2020-05-29,63
2020-05-30,46
2020-05-31,33
2020-06-01,36
2020-06-02,51
2020-06-03,26
2020-06-04,45
2020-06-05,41
2020-06-06,45
2020-06-07,32
2020-06-08,22
2020-06-09,30
2020-06-10,36
2020-06-11,40
2020-06-12,57
2020-06-13,43
2020-06-14,62
2020-06-15,60
2020-06-16,42
2020-06-17,43
2020-06-18,68
2020-06-19,54
2020-06-20,65
2020-06-21,48
2020-06-22,40
2020-06-23,53
2020-06-24,89
2020-06-25,79
2020-06-26,99
2020-06-27,88
2020-06-28,111
2020-06-29,110
2020-06-30,132
2020-07-01,125
2020-07-02,194
2020-07-03,249
2020-07-04,268
2020-07-05,195
2020-07-06,174
2020-07-07,203
2020-07-08,203
2020-07-09,352
2020-07-10,418
2020-07-11,374
2020-07-12,390
2020-07-13,246
2020-07-14,326
2020-07-15,438
2020-07-16,619
2020-07-17,588
2020-07-18,654
2020-07-19,501
2020-07-20,405
2020-07-21,618
2020-07-22,792
2020-07-23,966
2020-07-24,766
2020-07-25,796
2020-07-26,834
2020-07-27,583
2020-07-28,971
2020-07-29,1245
2020-07-30,1305
2020-07-31,1575
2020-08-01,1537
2020-08-02,1325
2020-08-03,941
2020-08-04,1240
2020-08-05,1344
2020-08-06,1479
2020-08-07,1597
2020-08-08,1521
2020-08-09,1485
2020-08-10,829
2020-08-11,691
2020-08-12,969
2020-08-13,1175
2020-08-14,1355
2020-08-15,1233
2020-08-16,1015
2020-08-17,630
2020-08-18,903
2020-08-19,1078
2020-08-20,1176
2020-08-21,1035
2020-08-22,985
2020-08-23,737
2020-08-24,491
2020-08-25,709
2020-08-26,893
2020-08-27,870
2020-08-28,869
2020-08-29,841
2020-08-30,598
2020-08-31,430
2020-09-01,624
2020-09-02,585
2020-09-03,654
2020-09-04,582
2020-09-05,598
2020-09-06,447
2020-09-07,285
2020-09-08,510
2020-09-09,507
2020-09-10,709
2020-09-11,637
2020-09-12,639
2020-09-13,438
2020-09-14,262
2020-09-15,530
2020-09-16,543
2020-09-17,478
2020-09-18,569
2020-09-19,592
2020-09-20,469
2020-09-21,306
2020-09-22,321
2020-09-23,216
2020-09-24,475
2020-09-25,567
2020-09-26,634
2020-09-27,478
2020-09-28,294
2020-09-29,527
2020-09-30,569
2020-10-01,619
2020-10-02,537
2020-10-03,562
2020-10-04,394
2020-10-05,269
2020-10-06,495
2020-10-07,502
2020-10-08,623
2020-10-09,594
2020-10-10,666
2020-10-11,431
2020-10-12,272
2020-10-13,491
2020-10-14,550
2020-10-15,703
2020-10-16,633
2020-10-17,611
2020-10-18,422
2020-10-19,313
2020-10-20,475
2020-10-21,611
2020-10-22,609
2020-10-23,742
2020-10-24,712
2020-10-25,486
2020-10-26,401
2020-10-27,646
2020-10-28,724
2020-10-29,803
2020-10-30,767
2020-10-31,866
2020-11-01,603
2020-11-02,480
2020-11-03,860
2020-11-04,606
2020-11-05,1046
2020-11-06,1137
2020-11-07,1301
2020-11-08,934
2020-11-09,770
2020-11-10,1276
2020-11-11,1540
2020-11-12,1624
2020-11-13,1703
2020-11-14,1721
2020-11-15,1428
2020-11-16,949
2020-11-17,1685
2020-11-18,2173
2020-11-19,2382
2020-11-20,2425
2020-11-21,2570
2020-11-22,2146
2020-11-23,1513
2020-11-24,1219
2020-11-25,1925
2020-11-26,2494
2020-11-27,2510
2020-11-28,2667
2020-11-29,2046
2020-11-30,1425
2020-12-01,2014
2020-12-02,2419
2020-12-03,2505
2020-12-04,2435
2020-12-05,2496
2020-12-06,2010
2020-12-07,1502
2020-12-08,2166
2020-12-09,2801
2020-12-10,2966
2020-12-11,2795
2020-12-12,3010
2020-12-13,2375
2020-12-14,1681
2020-12-15,2400
2020-12-16,2990
2020-12-17,3206
2020-12-18,2832
2020-12-19,3040
2020-12-20,2398
2020-12-21,1791
2020-12-22,2674
2020-12-23,3270
2020-12-24,3797
2020-12-25,3934
2020-12-26,3702
2020-12-27,2942
2020-12-28,2397
2020-12-29,3609
2020-12-30,3884
2020-12-31,4500
2021-01-01,3248
2021-01-02,3057
2021-01-03,3139
2021-01-04,3330
2021-01-05,4958
2021-01-06,6066
2021-01-07,7793
2021-01-08,8045
2021-01-09,7528
2021-01-10,6130
2021-01-11,4901
2021-01-12,4630
2021-01-13,6086
2021-01-14,6749
2021-01-15,6795
2021-01-16,7028
2021-01-17,5758
2021-01-18,4947
2021-01-19,5355
2021-01-20,5643
2021-01-21,5743
2021-01-22,4821
2021-01-23,4711
2021-01-24,3988
2021-01-25,2760
2021-01-26,3851
2021-01-27,3968
2021-01-28,4122
2021-01-29,3547
2021-01-30,3330
2021-01-31,2673
2021-02-01,1782
2021-02-02,2321
2021-02-03,2648
2021-02-04,2574
2021-02-05,2371
2021-02-06,2277
2021-02-07,1627
2021-02-08,1215
2021-02-09,1568
2021-02-10,1885
2021-02-11,1689
2021-02-12,1297
2021-02-13,1355
2021-02-14,1360
2021-02-15,964
2021-02-16,1305
2021-02-17,1443
2021-02-18,1540
2021-02-19,1297
2021-02-20,1228
2021-02-21,1029
2021-02-22,739
2021-02-23,1078
2021-02-24,923
2021-02-25,1064
2021-02-26,1057
2021-02-27,1208
2021-02-28,994
2021-03-01,684
2021-03-02,887
2021-03-03,1240
2021-03-04,1168
2021-03-05,1145
2021-03-06,1045
2021-03-07,1061
2021-03-08,599
2021-03-09,1125
2021-03-10,1309
2021-03-11,1315
2021-03-12,1268
2021-03-13,1317
2021-03-14,982
2021-03-15,688
2021-03-16,1130
2021-03-17,1520
2021-03-18,1492
2021-03-19,1453
2021-03-20,1517
2021-03-21,1110
2021-03-22,817
2021-03-23,1485
2021-03-24,1924
2021-03-25,1914
2021-03-26,2030
2021-03-27,2073
2021-03-28,1753
2021-03-29,1340
2021-03-30,2077
2021-03-31,2832
2021-04-01,2598
2021-04-02,2742
2021-04-03,2755
2021-04-04,2459
2021-04-05,1553
2021-04-06,2652
2021-04-07,3459
2021-04-08,3455
2021-04-09,3511
2021-04-10,3742
2021-04-11,2848
2021-04-12,2100
2021-04-13,3445
2021-04-14,4302
2021-04-15,4569
2021-04-16,4518
2021-04-17,4790
2021-04-18,4087
2021-04-19,2891
2021-04-20,4327
2021-04-21,5279
2021-04-22,5473
2021-04-23,5117
2021-04-24,5601
2021-04-25,4602
2021-04-26,3303
2021-04-27,4960
2021-04-28,5790
2021-04-29,5896
2021-04-30,4658
2021-05-01,5992
2021-05-02,5880
2021-05-03,4458
2021-05-04,4195
2021-05-05,4052
2021-05-06,4351
2021-05-07,6033
2021-05-08,7244
2021-05-09,6492
2021-05-10,4926
2021-05-11,6236
2021-05-12,7059
2021-05-13,6867
2021-05-14,6268
2021-05-15,6419
2021-05-16,5248
2021-05-17,3677
2021-05-18,5228
2021-05-19,5814
2021-05-20,5712
2021-05-21,5248
2021-05-22,5032
2021-05-23,4032
2021-05-24,2710
2021-05-25,3894
2021-05-26,4527
2021-05-27,4127
2021-05-28,3705
2021-05-29,3589
2021-05-30,2874
2021-05-31,1785
2021-06-01,2640
2021-06-02,3031
2021-06-03,2826
2021-06-04,2586
2021-06-05,2647
2021-06-06,2016
2021-06-07,1278
2021-06-08,1884
2021-06-09,2224
2021-06-10,2041
2021-06-11,1934
2021-06-12,1941
2021-06-13,1382
2021-06-14,929
2021-06-15,1418
2021-06-16,1696
2021-06-17,1550
2021-06-18,1619
2021-06-19,1509
2021-06-20,1303
2021-06-21,864
2021-06-22,1433
2021-06-23,1776
2021-06-24,1669
2021-06-25,1706
2021-06-26,1620
2021-06-27,1280
2021-06-28,989
2021-06-29,1376
2021-06-30,1810
2021-07-01,1742
2021-07-02,1773
2021-07-03,1863
2021-07-04,1479
2021-07-05,1021
2021-07-06,1657
2021-07-07,2181
2021-07-08,2239
2021-07-09,2260
2021-07-10,2453
2021-07-11,2020
2021-07-12,1492
2021-07-13,2376
2021-07-14,3171
2021-07-15,3409
2021-07-16,3420
2021-07-17,3872
2021-07-18,3093
2021-07-19,2318
2021-07-20,3747
2021-07-21,4940
2021-07-22,5390
2021-07-23,4212
2021-07-24,3596
2021-07-25,5030
2021-07-26,4679
2021-07-27,7660
2021-07-28,9625
2021-07-29,10742
2021-07-30,10814
2021-07-31,12413
2021-08-01,10236
2021-08-02,8411
2021-08-03,12149
2021-08-04,14352
2021-08-05,15353
2021-08-06,15797
2021-08-07,15825
2021-08-08,14529
2021-08-09,12141
2021-08-10,10728
2021-08-11,15994
2021-08-12,19038
2021-08-13,20492
2021-08-14,20287
2021-08-15,17887
2021-08-16,14981
2021-08-17,20104
2021-08-18,24091
2021-08-19,25335
2021-08-20,25975
2021-08-21,25633
2021-08-22,22327
2021-08-23,16926
2021-08-24,21664
2021-08-25,24414
2021-08-26,25040
2021-08-27,24305
2021-08-28,22838
2021-08-29,19339
2021-08-30,13668
2021-08-31,17713
2021-09-01,20029
2021-09-02,18206
2021-09-03,16719
2021-09-04,16003
2021-09-05,12891
2021-09-06,8229
2021-09-07,10590
2021-09-08,12384
2021-09-09,10379
2021-09-10,8868
2021-09-11,8790
2021-09-12,6488
2021-09-13,3088
2021-09-14,6650
2021-09-15,6883
2021-09-16,5490
2021-09-17,4759
2021-09-18,4557
2021-09-19,3279
2021-09-20,1916
2021-09-21,1521
2021-09-22,3654
2021-09-23,3820
2021-09-24,1665
2021-09-25,2692
2021-09-26,2095
2021-09-27,966
2021-09-28,1943
2021-09-29,1980
2021-09-30,1568
2021-10-01,1367
2021-10-02,1329
2021-10-03,873
2021-10-04,502
2021-10-05,1104
2021-10-06,1180
2021-10-07,912
2021-10-08,810
2021-10-09,791
2021-10-10,581
2021-10-11,285
2021-10-12,672
2021-10-13,740
2021-10-14,644
2021-10-15,521
2021-10-16,537
2021-10-17,381
2021-10-18,178
2021-10-19,423
2021-10-20,427
2021-10-21,311
2021-10-22,345
2021-10-23,307
2021-10-24,224
2021-10-25,145
2021-10-26,349
2021-10-27,323
2021-10-28,299
2021-10-29,321
2021-10-30,281
2021-10-31,228
2021-11-01,77
2021-11-02,239
2021-11-03,264
2021-11-04,120
2021-11-05,254
2021-11-06,235
2021-11-07,156
2021-11-08,88
2021-11-09,220
2021-11-10,207
2021-11-11,213
2021-11-12,197
2021-11-13,199
2021-11-14,135
2021-11-15,58
2021-11-16,144
2021-11-17,189
2021-11-18,165
2021-11-19,143
2021-11-20,122
2021-11-21,129
2021-11-22,22
2021-11-23,123
2021-11-24,55
2021-11-25,117
2021-11-26,115
2021-11-27,132
2021-11-28,66
2021-11-29,56
2021-11-30,134
2021-12-01,126
2021-12-02,113
2021-12-03,136
2021-12-04,123
2021-12-05,97
2021-12-06,35
2021-12-07,113
2021-12-08,139
2021-12-09,144
2021-12-10,119
2021-12-11,140
2021-12-12,114
2021-12-13,57
2021-12-14,161
2021-12-15,175
2021-12-16,142
2021-12-17,156
2021-12-18,191
2021-12-19,156
2021-12-20,72
2021-12-21,207
2021-12-22,237
2021-12-23,278
2021-12-24,261
2021-12-25,298
2021-12-26,215
2021-12-27,132
2021-12-28,347
2021-12-29,446
2021-12-30,433
2021-12-31,450
2022-01-01,461
2022-01-02,429
2022-01-03,785
2022-01-04,1093
2022-01-05,2777
2022-01-06,4475
2022-01-07,6520
2022-01-08,8611
2022-01-09,8098
2022-01-10,5646
2022-01-11,5638
2022-01-12,15490
2022-01-13,20804
2022-01-14,23557
2022-01-15,29200
2022-01-16,26353
2022-01-17,16709
2022-01-18,39602
2022-01-19,47800
2022-01-20,51505
2022-01-21,52727
2022-01-22,61543
2022-01-23,50369
2022-01-24,44692
2022-01-25,62489
2022-01-26,71528
2022-01-27,78760
2022-01-28,81738
2022-01-29,84848
2022-01-30,78018
2022-01-31,60742
2022-02-01,81561
2022-02-02,94815
2022-02-03,96748
2022-02-04,95364
2022-02-05,100870
2022-02-06,89080
